run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap,dataset
fedavg__atk=alie__mal=0.2__alpha=0.5,0.8194853227006675,0.7559767659885531,0.7717244021902107,0.7102416956196238,0.0605859743322291,25,,0.0,0.0,fedavg,alie,0.2,0.5,0.0477609205104568,ciciot2023
fedavg__atk=alie__mal=0.2__alpha=None,0.7571442851272254,0.7720181698784543,0.7526558525939335,0.6960913327906793,0.0412869584580236,25,,0.0,0.0,fedavg,alie,0.2,,0.0044884325332918,ciciot2023
fedavg__atk=alie__mal=0.4__alpha=0.5,0.7227139953574642,0.6063868065077953,0.7227139953574642,0.6063868065077953,0.0,25,,0.0,0.0,fedavg,alie,0.4,0.5,0.0,ciciot2023
fedavg__atk=alie__mal=0.4__alpha=None,0.770316647600431,0.6769344154013044,0.6750724702066928,0.6180589902517835,0.255668757845942,25,,0.0,0.0,fedavg,alie,0.4,,0.0952441773937381,ciciot2023
fedavg__atk=gaussian_noise__mal=0.2__alpha=0.5,0.0233570643180026,0.0010662015684992,0.0233570643180026,0.0010662015684992,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,0.5,0.0,ciciot2023
fedavg__atk=gaussian_noise__mal=0.2__alpha=None,0.0233570643180026,0.0010662015684992,0.0233570643180026,0.0010662015684992,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,,0.0,ciciot2023
fedavg__atk=gaussian_noise__mal=0.4__alpha=0.5,0.0233570643180026,0.0010662015684992,0.0233570643180026,0.0010662015684992,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,0.5,0.0,ciciot2023
fedavg__atk=gaussian_noise__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992,0.0233570643180026,0.0010662015684992,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,,0.0,ciciot2023
fedavg__atk=label_flip__mal=0.2__alpha=0.5,0.8027033330741806,0.71894268626231,0.7555005164543465,0.7063884393878674,0.0798891676581391,25,,0.0,0.0,fedavg,label_flip,0.2,0.5,0.0472028166198341,ciciot2023
fedavg__atk=label_flip__mal=0.2__alpha=None,0.6506991570132279,0.6462785955358572,0.6715447538234282,0.6691705368773153,0.131299578600765,25,,0.0,0.0,fedavg,label_flip,0.2,,0.0208455968102002,ciciot2023
fedavg__atk=label_flip__mal=0.4__alpha=0.5,0.1567577773581971,0.0520235414623329,0.2419963459466663,0.1505938466771361,0.180127610372113,25,,0.0,0.0,fedavg,label_flip,0.4,0.5,0.0852385685884691,ciciot2023
fedavg__atk=label_flip__mal=0.4__alpha=None,0.1845463531659207,0.0994045514960488,0.4372494085764741,0.4071263936552907,0.2565794782499633,25,,0.0,0.0,fedavg,label_flip,0.4,,0.2527030554105534,ciciot2023
foolsgold__atk=alie__mal=0.2__alpha=0.5,0.7227139953574642,0.6063868065077953,0.7227139953574642,0.6063868065077953,0.0,25,,0.0,0.0,foolsgold,alie,0.2,0.5,0.0,ciciot2023
